,title,author,publisher,res_page,age_recom,theme,PNLedition,1st_author,other_authors
13,A história interminável,Michael Ende ; trad. de Maria do Carmo Cary,"Barcarena : Presença, 2022",1,15 - 18 anos,Literatura,2022 - 1.o Sem.,Michael Ende , trad. de Maria do Carmo Cary
14,Os três mosqueteiros,Alexandre Dumas ; apresent. Adriana Veleda ; trad. Artur Lopes Cardoso,"Porto : Porto Ed., 2022",1,15 - 18 anos,Literatura,2022 - 1.o Sem.,Alexandre Dumas , apresent. Adriana Veleda ; trad. Artur Lopes Cardoso
15,Vidas Seguintes,Abdulrazak Gurnah  ; trad. do inglês Eugénia Antunes,"Lisboa : Cavalo de Ferro, 2022",1,15 - 18 anos,Literatura,2022 - 1.o Sem.,Abdulrazak Gurnah  , trad. do inglês Eugénia Antunes
16,O gato que salvava livros,Sosuke Natsukawa ; trad. do inglês Teresa Mendonça,"Barcarena : Presença, 2022",1,15 - 18 anos,Literatura,2022 - 1.o Sem.,Sosuke Natsukawa , trad. do inglês Teresa Mendonça
17,A montanha viva,Nan Shepherd ; introd. Robert Macfarlane ; trad. Jorge Melícias,ISBN: 978-972-44-2501-6,1,15 - 18 anos,Literatura,2022 - 1.o Sem.,Nan Shepherd , introd. Robert Macfarlane ; trad. Jorge Melícias
18,Uma cidade nas nuvens,Anthony Doerr ; trad. Manuel Alberto Vieira,"Barcarena : Presença, 2021",1,15 - 18 anos,Literatura,2022 - 1.o Sem.,Anthony Doerr , trad. Manuel Alberto Vieira
19,Um dia chegarei a Sagres,Nélida Piñon,"Lisboa : Temas e Debates : Círculo de Leitores, 2021",1,15 - 18 anos,Literatura,2022 - 1.o Sem.,Nélida Piñon,
20,Livros,João Afonso,ISBN: 978-989-53309-0-4,2,15 - 18 anos,Literatura,2022 - 1.o Sem.,João Afonso,
21,Sinopse de amor e guerra,Afonso Cruz,"Lisboa : Companhia das Letras, 2021",2,15 - 18 anos,Literatura,2022 - 1.o Sem.,Afonso Cruz,
22,O homem do turbante verde e outras histórias,Mário de Carvalho,"Porto : Porto Ed., 2021",2,15 - 18 anos,Literatura,2022 - 1.o Sem.,Mário de Carvalho,
23,Os crimes da rua Morgue e outros mistérios de Auguste Dupin,Edgar Allan Poe ; trad. Miguel Martins,"Coimbra : Minotauro, 2021",2,15 - 18 anos,Literatura,2022 - 1.o Sem.,Edgar Allan Poe , trad. Miguel Martins
24,A rapariga que adorava finais felizes,João de Mancelos,"Famões : Colibri, 2021",2,15 - 18 anos,Literatura,2022 - 1.o Sem.,João de Mancelos,
25,Morrem mais de mágoa,Saul Bellow ; trad. Lucília Filipe,"Lisboa : Quetzal, cop. 2021",2,15 - 18 anos,Literatura,2022 - 1.o Sem.,Saul Bellow , trad. Lucília Filipe
26,Boas esposas,Louisa May Alcott ; trad. Marta Mendonça,ISBN: 978-989-783-169-0,2,15 - 18 anos,Literatura,2022 - 1.o Sem.,Louisa May Alcott , trad. Marta Mendonça
27,Concurso de talentos,Jason Platt ; trad. Paula Neves,"Alfragide : ASA II, 2021",2,15 - 18 anos,Literatura,2022 - 1.o Sem.,Jason Platt , trad. Paula Neves
28,A relíquia,Eça de Queirós ; ed. Carlos Reis e Maria Eduarda Borges dos Santos,ISBN: 978-972-27-2943-7,2,15 - 18 anos,Literatura,2022 - 1.o Sem.,Eça de Queirós , ed. Carlos Reis e Maria Eduarda Borges dos Santos
29,A lenda do cavaleiro sem cabeça e outros contos,Washington Irving ; apresent. Padre Brown ; adapt. por Adriana Veleda ; il. Weberson Santiago,"Porto : Porto Ed., 2021",2,15 - 18 anos,Literatura,2022 - 1.o Sem.,Washington Irving , apresent. Padre Brown ; adapt. por Adriana Veleda ; il. Weberson Santiago
30,Arsène Lupin : gentleman ladrão,Maurice Leblanc ; trad. de Aníbal Tello,ISBN: 978-989-783-118-8,2,15 - 18 anos,Literatura,2022 - 1.o Sem.,Maurice Leblanc , trad. de Aníbal Tello
31,Arsène Lupin contra Herlock Sholmès,Arsène Lupin ; trad. Miguel Pereira,"[S.l.] : Cultura, 2021",2,15 - 18 anos,Literatura,2022 - 1.o Sem.,Arsène Lupin , trad. Miguel Pereira
32,813,Maurice Leblanc ; trad. de Aníbal Tello,ISBN: 978-989-783-140-9,2,15 - 18 anos,Literatura,2022 - 1.o Sem.,Maurice Leblanc , trad. de Aníbal Tello
33,Para onde vão os guarda-chuvas,Afonso Cruz,"Lisboa : Companhia das Letras, 2021",2,15 - 18 anos,Literatura,2022 - 1.o Sem.,Afonso Cruz,
34,A música dos ossos,David Almond ; trad. Manuela Madureira,"Lisboa : Presença, 2021",2,15 - 18 anos,Literatura,2022 - 1.o Sem.,David Almond , trad. Manuela Madureira
35,Noite no caminho de ferro da via láctea,"Kenji Miyazawa ; introd., posf., trad. do japonês e notas por António Barrento ; rev. lit. Virgílio Tenreiro Viseu","Silveira : E-primatur, 2021",2,15 - 18 anos,Literatura,2022 - 1.o Sem.,Kenji Miyazawa ," introd., posf., trad. do japonês e notas por António Barrento ; rev. lit. Virgílio Tenreiro Viseu"
36,Primeira pessoa do singular,Haruki Murakami ; trad. Inês Rocha Silva e Maria João Lourenço,"Alfragide : Casa das Letras, 2021",2,15 - 18 anos,Literatura,2022 - 1.o Sem.,Haruki Murakami , trad. Inês Rocha Silva e Maria João Lourenço
37,Alcateia : romance,Carlos de Oliveira ; pref. Osvaldo Manuel Silvestre,"Porto : Assírio e Alvim, 2021",2,15 - 18 anos,Literatura,2022 - 1.o Sem.,Carlos de Oliveira , pref. Osvaldo Manuel Silvestre
38,Solaris,Stanislaw Lem ; trad. Teresa Fernandes Swiatkiewicz ; nota prévia Alberto Manguel,"Lisboa : Antígona, 2021",2,15 - 18 anos,Literatura,2022 - 1.o Sem.,Stanislaw Lem , trad. Teresa Fernandes Swiatkiewicz ; nota prévia Alberto Manguel
39,Inventor de vendavais,Hélia Correia,ISBN: 978-989-783-181-2,2,15 - 18 anos,Literatura,2022 - 1.o Sem.,Hélia Correia,
40,O tigre,Joël Dicker ; trad. Susana Sousa e Silva ; il. David de las Heras,"Lisboa : Alfaguara, 2021",3,15 - 18 anos,Literatura,2022 - 1.o Sem.,Joël Dicker , trad. Susana Sousa e Silva ; il. David de las Heras
41,O estranho caso de Benjamin Button,F. Scott Fitzgerald ; trad. Carolina Alves,"Lisboa : Guerra e Paz, 2021",3,15 - 18 anos,Literatura,2022 - 1.o Sem.,F. Scott Fitzgerald , trad. Carolina Alves
42,Fome : novela gráfica,Knut Hamsun e Martin Ernstsen ; trad. do norueguês Liliete Martins,"Lisboa : Cavalo de Ferro, 2021",3,15 - 18 anos,Literatura,2022 - 1.o Sem.,Knut Hamsun e Martin Ernstsen , trad. do norueguês Liliete Martins
43,Vercoquin e o Plâncton,Boris Vian ; trad. do francês Manuel de Freitas,"Lisboa : E-Primatur, 2021",3,15 - 18 anos,Literatura,2022 - 1.o Sem.,Boris Vian , trad. do francês Manuel de Freitas
44,"No início, eram dez...",argumento Pascal Davoz ; des. Callixte e Georges Van Linthout ; trad. Jorge Colaço,"Estoril : Arte de Autor, 2021",3,15 - 18 anos,Literatura,2022 - 1.o Sem.,argumento Pascal Davoz , des. Callixte e Georges Van Linthout ; trad. Jorge Colaço
45,A filha das profundezas,Rick Riordan ; trad. Inês Fraga,"Lisboa : Nuvem de Tinta, 2021",3,15 - 18 anos,Literatura,2022 - 1.o Sem.,Rick Riordan , trad. Inês Fraga
46,Diário de uma avó e de um neto confinados em casa,Alice Vieira e Nélson Mateus,"Alfragide : Casa das Letras, 2021",3,15 - 18 anos,Literatura,2022 - 1.o Sem.,Alice Vieira e Nélson Mateus,
47,Quarenta e três : uma viagem pela literatura universal : em busca do amor?,José Gardeazabal,ISBN: 978-989-783-198-0,3,15 - 18 anos,Literatura,2022 - 1.o Sem.,José Gardeazabal,
48,Dez césares,Barry Strauss ; trad. Paulo Tavares e Sara M. Felício,"Lisboa : Bertrand, 2021",3,15 - 18 anos,Literatura,2022 - 1.o Sem.,Barry Strauss , trad. Paulo Tavares e Sara M. Felício
49,2001 : odisseia no espaço,Arthur C. Clarke ; trad. Renato Carreira,"Porto Salvo : Saída de Emergência, 2021",3,15 - 18 anos,Literatura,2022 - 1.o Sem.,Arthur C. Clarke , trad. Renato Carreira
50,O hóspede de Job,José Cardoso Pires ; pref. de Bruno Vieira Amaral,ISBN: 978-989-783-160-7,3,15 - 18 anos,Literatura,2022 - 1.o Sem.,José Cardoso Pires , pref. de Bruno Vieira Amaral
51,"Ivan, o tolo",Lev Tolstoi ; adapt. por Adriana Veleda ; il. Weberson Santiago,"Porto : Porto Ed., 2021",3,15 - 18 anos,Literatura,2022 - 1.o Sem.,Lev Tolstoi , adapt. por Adriana Veleda ; il. Weberson Santiago
52,Não confies nos teus olhos,"Scott Cawthon, Kira Breed-Wrisley ; trad. Rafael Miranda ; adapt. à versão port. Sónia Lopes","Barcarena : Presença, 2021",3,15 - 18 anos,Literatura,2022 - 1.o Sem.,"Scott Cawthon, Kira Breed-Wrisley ", trad. Rafael Miranda ; adapt. à versão port. Sónia Lopes
53,Memórias de um craque,Fernando Assis Pacheco ; posfácio de Manuel António Pina ; org. de Abel Barros Baptista,"Lisboa : Tinta-da-China, 2021",3,15 - 18 anos,Literatura,2022 - 1.o Sem.,Fernando Assis Pacheco , posfácio de Manuel António Pina ; org. de Abel Barros Baptista
54,A cabana do tio Tom ou A vida entre os humildes,Harriet Beecher Stowe ; trad. Gabriela Ruivo Trindade ; introd. Inocência Mata,"Lisboa : Sibila, 2020",3,15 - 18 anos,Literatura,2022 - 1.o Sem.,Harriet Beecher Stowe , trad. Gabriela Ruivo Trindade ; introd. Inocência Mata
55,100 papas na língua,Lurdes Breda ; il. Tânia Clímaco,"Maputo : Escola Portuguesa de Moçambique, 2020",3,15 - 18 anos,Literatura,2022 - 1.o Sem.,Lurdes Breda , il. Tânia Clímaco
56,O rei João,"William Shakespeare ; trad., introd. e notas Nuno Pinto Ribeiro",ISBN: 978-989-641-730-7,3,15 - 18 anos,Literatura,2022 - 1.o Sem.,William Shakespeare ," trad., introd. e notas Nuno Pinto Ribeiro"
57,Almanaque do céu e da Terra,Cristina Carvalho ; rev. científica Carlos Fiolhais,ISBN: 978-989-783-087-7,3,15 - 18 anos,Literatura,2022 - 1.o Sem.,Cristina Carvalho , rev. científica Carlos Fiolhais
58,Uma luz ao longe,Aquilino Ribeiro ; pref. de Gonçalo M. Tavares,"Lisboa : Bertrand, 2020",3,15 - 18 anos,Literatura,2022 - 1.o Sem.,Aquilino Ribeiro , pref. de Gonçalo M. Tavares
59,Contos completos,Mikhail Bulgákov ; trad. do russo e notas de Larissa Shotropa,"Silveira : E-Primatur, 2020-",3,15 - 18 anos,Literatura,2022 - 1.o Sem.,Mikhail Bulgákov , trad. do russo e notas de Larissa Shotropa
60,"Conta comigo, pai!",António Garcia Barreto ; il. da capa Zita Pinto,"Castro Verde : Sell Out, 2019",4,15 - 18 anos,Literatura,2022 - 1.o Sem.,António Garcia Barreto , il. da capa Zita Pinto
61,O livro da selva,Rudyard Kipling ; trad. de Andreia Mendonça,"Porto : Livraria Lello, 2019",4,15 - 18 anos,Literatura,2022 - 1.o Sem.,Rudyard Kipling , trad. de Andreia Mendonça
62,O tacão de ferro,Jack London ; trad. Inês Dias ; introd. Howard Zinn ; posf. Leon Trotsky,"Lisboa : Antígona, 2019",4,15 - 18 anos,Literatura,2022 - 1.o Sem.,Jack London , trad. Inês Dias ; introd. Howard Zinn ; posf. Leon Trotsky
63,António e Cleópatra,"William Shakespeare ; trad., introd e notas Rui Carvalho Homem",ISBN: 978-989-641-830-4,4,15 - 18 anos,Literatura,2022 - 1.o Sem.,William Shakespeare ," trad., introd e notas Rui Carvalho Homem"
64,Sei porque canta o pássaro na gaiola,Maya Angelou ; posf. Diana V. Almeida ; trad. Tânia Ganho,"Lisboa : Antígona, 2017",4,15 - 18 anos,Literatura,2022 - 1.o Sem.,Maya Angelou , posf. Diana V. Almeida ; trad. Tânia Ganho
65,The shining,Stephen King ; trad. Maria Filomena Duarte,"Lisboa : 11x17, 2017",4,15 - 18 anos,Literatura,2022 - 1.o Sem.,Stephen King , trad. Maria Filomena Duarte
66,Insanus : micro-contos,Carlos Querido,ISBN: 978-989-8688-51-4,4,15 - 18 anos,Literatura,2022 - 1.o Sem.,Carlos Querido,
67,Ninguém sabe onde está,Luís Maio,ISBN: 978-989-8688-46-0,4,15 - 18 anos,Literatura,2022 - 1.o Sem.,Luís Maio,
68,Admirável mundo novo,Aldous Huxley ; trad. Mário-Henrique Leiria ; pref. Manuel Portela,"Lisboa : Antígona, 2013",4,15 - 18 anos,Literatura,2022 - 1.o Sem.,Aldous Huxley , trad. Mário-Henrique Leiria ; pref. Manuel Portela
