,name,nationality
89,Simon Sebag Montefiore ,he is married to the novelist Santa Montefiore
90,Almeida Garrett,none
91,il. Fatinha Ramos,none
92,adapt. António Sérgio ,none
93,Lewis Carroll ,"born on January 27, 1832, in Daresbury, Cheshire, England"
94,Judith Kerr ,Berlin
95,Gine Victor ,Cuba
96,E. B. White ,"Mount Vernon, N.Y."
97,Camilo Castelo Branco ,"52,291"
98,Agustina Bessa-Luís ,Portuguese
99,Maurice Sendak ,"Brooklyn, New York"
100,Mathias Picard ,French-Malagasy
101,Shel Silverstein ,American
102,André Ducci,Brazilian
103,Sophie Plowden ,none
104,texto e il. dos Alunos da ES 2.3 D. Filipa de Lencastre,none
105,texto e il. Marco Taylor,none
106,Mário-Henrique Leiria ,none
107,T. S. Eliot ,"St. Louis, Missouri"
108,Jimmy Liao ,Taiwan
109,org. Aida Sampaio Lemos... [et al.],none
110,Jason Reynolds ,American
111,Harper Lee ,American
112,Onjali Q. Raúf ,British Bangladeshi
113,adapt. em prosa de João de Barros ,none
114,Margarida Fonseca Santos ,none
115,Rosário Alçada Araújo ,none
116,Arthur Conan Doyle ,British
117,James Patterson e Chris Grabenstein ,American
118,Alex Nogués ,none
119,Luís Sepúlveda ,none
120,Kelly Barnhill ,none
121,Morris Gleitzman ,Phillip (an auditor) and Pamela (Bates) Gleitzman
122,Daniel Defoe ,out of a desire to have it sound more gentlemanly
123,Laia de Ahumada ,none
124,Eleanor H. Porter ,rural Vermont
125,Dino Buzzati ,his fiction and plays
126,Manuel António Pina,Portuguese
127,"org., transcr. e extratextos Victor Correia",none
128,"António José da Silva, o Judeu",none
129,Catarina Fonseca,none
130,Fernando Pessoa & Apóstolos ,Fernando Pessoa
131,Erin Entrada Kelly ,Delaware
132,Suzanne Heller ,none
133,"coord. Leonor Abecasis, Isabel Oliveira Martins, Larissa Shotropa ",none
134,Manuela Gonzaga,none
135,"Eça de Queiroz. Bartleby, o escrivão : uma história de Wall Street",none
136,Ana Pessoa ,East Timorese
137,M. Margarida Pereira-Müller ,none
138,Jaroslav HaÅ¡ek ,none
139,Sofia Martinez,none
140,Valter Hugo Mãe ,none
141,adapt. Aquilino Ribeiro ,none
142,Sarah Lean ,English
143,Condessa de Ségur ,none
144,Francisco Sousa Faria da Silva,none
145,Selma Lagerlöf ,Sweden
146,Paul Theroux ,American
147,"Isabel Peixeiro, Margarida Fonseca Santos, Rosário Padinha Ribeiro",none
148,Miguel de Cervantes ,Spanish
149,reconstituído por Afonso Lopes Vieira ,none
150,Pero Vaz de Caminha,none
151,Howard Pyle ,American
152,concebido e escrito por Lucy Ferry ,none
153,Gentil Marques ,none
154,Mark Twain ,American
155,Christelle Dabos ,French
156,Alan Gratz ,"Knoxville, Tennessee"
157,Susana Monteagudo ,none
158,Gianni Rodari ,none
159,Jorge Canuto Glória ,none
160,argumento Dominique Ziegler ,none
161,texto José Jorge Letria ,none
162,Margarida Fonseca Santos,none
163,org. de António Botto ,none
164,Timothée de Fombelle ,French
165,Béja e Nataël ,none
166,Olga Tokarczuk ,Polish
167,"Luca Crippa, Maurizio Onnis ",none
168,Phillip Hoose ,none
169,André Carrilho,ANDRÉ CARRILHO
170,org. António Botto ,none
171,Luísa Ducla Soares ,Luísa
172,Kirsten Smith ,none
173,Anthony Hope ,none
174,Ana Luísa Pleno Rajão ,Ana Luísa Pleno Rajão
175, J. R. R. Tolkien ,German descent
176,José António Franco ,Paraguayan
177,Sophie Anderson ,genre painting of children and women
178,Rachael Lippincott ,"Pittsburgh, Pennsylvania"
179,compil. e pref. Nelson Mandela ,none
180,Clovis Levi ,none
181,E. Nesbit ,Edith Nesbit
182,Oliver Jeffers ,Oliver is originally from Northern Ireland
183,Jordan Scott ,poet and children's author
184,G.K. Chesterton ,"Campden Hill in Kensington, London"
185,Nani Brunini,none
186,Mark Haddon ,Northampton
187,il. Pietro Gottuso,none
188,adapt. e il. Odyr ,none
189,texto de Fran Pintadera ,none
190,Virginia Woolf ,England
191,José Mauro de Vasconcelos  ,Brazilian
192,Eddie Jaku ,"His family considered themselves German, first, Jewish second"
193,Tomás Guerrero ,none
194,"Delep, Dorison ",none
195,Ross Welford ,England
196,adapt. e argum. Djian ,none
197,L. Frank Baum,"Chittenango, New York"
198,adapt. e argum. Christophe Lemoine ,none
199,adapt. e argum. Caterina Mognato ,none
200,Renia Spiegel ,Jewish Polish
201,adapt. e argum. Claude Carré ,none
202,Lucy Maud Montgomery ,"Clifton (now New London), Prince Edward Island"
203,Marta Breen e Jenny Jordahl ,none
204,John Grisham ,American
205,Susana Cardoso Ferreira ,none
206,Charlie Mackesy ,British
207,Miguel Sousa Tavares ,Portuguese
208,Arianna Squilloni ,none
209,Malala Yousafzai ,Pakistani
210,texto Lurdes Breda ,none
211,"Franz Kafka, Guridi ",German-speaking
212,Maite Carranza ,none
213,Isabel Minhós Martins ,none
214,Sophia de Mello Breyner Andresen ,Portuguese
215,Soeiro Pereira Gomes,none
216,Ilse Losa,German-Jewish
217,Maurice Leblanc ,French
218,João de Melo ,none
219,Lúcia Vicente ,Spanish
220,Conceição Dinis Tomé ,none
221,Justin A. Reynolds ,American
222,Victor Hugo ,French
223,"Eugenio Carmi, Umberto Eco ",none
224,Johanna Schaible  ,none
225,adapt. e argum. Philippe Chanoinat e Djian ,none
226,James Norbury ,none
227,Alice Oseman ,Alice Oseman is a British
228,texto de Marianne Laidlaw ,none
229,por Carlos Ascenso André ,none
230,Lurdes Breda il. Tânia Clímaco,none
231,Geremias Mendoso ,none
232,Mafalda Moutinho ,none
233,Sérgio Almeida ,none
234,Alfredo Behrens ,Brazilian national
235,"Scott Cawthon, Kira Breed-Wrisley ",none
236,adapt. e argum. des. e cores Chrys Millien ,none
237,Emilio Salgari ,Italian
238,"Pedro Pereira Lopes, Chico António ",none
239,Rafo Díaz ,none
240,José Fanha ,none
241,Michael Ende ,German
242,escrito e il. Rob Biddulph ,London
243,David Machado ,Portuguese
244,Anete Melece ,none
245,Antoine de Saint-Exupéry ,Asteroid B-612
246,António Torrado ,none
247,Sosuke Natsukawa ,none
248,Marion Zimmer Bradley ,Marion Zimmer Bradley
249,João de Mancelos,none
250,Kenji Miyazawa ,a young boy
251,Ana Ferreira da Silva,none
252,Hélia Correia,none
253,Jon Klassen ,Canadian
254,Sara Albuquerque ,none
255,Arthur C. Clarke ,to pursue his interest in scuba diving
256,Lev Tolstoi ,Russian
257,Rick Riordan ,American
258,Washington Irving ,New York City
259,texto João Paulo Cotrim ,none
260,Fernando Assis Pacheco ,writer and actor
261,Jack Meggitt-Phillips ,north London
262,Jason Platt ,none
263,Lurdes Breda ,none
264,Aquilino Ribeiro ,none
265,Harriet Beecher Stowe ,American
266,L. Frank Baum ,"Chittenango, New York"
267,António Garcia Barreto ,none
268,Jairo Aníbal Niño ,Colombian
269,Italo Calvino ,Italian
270,Maria Teresa Maia Gonzalez,none
271,Pearl S. Buck ,"Hillsboro, West Virginia"
272,"Mariko Tamaki, Jillian Tamaki ",Canadian
273,Tim Bowler ,none
274,Selma Lagerlof ,Sweden
275,Paula Carballeira ,none
276,Machado de Assis ,none
277,Eça de Queiroz ,none
278,trad. Elsa T. S. Vieira,none
279,Luísa Costa Gomes ,none
280,Albert Camus ,His origin in Algeria
281,John Boyne ,Irish
282,Alice Vieira,none
283,Art Spiegelman ,"The German word Maus is cognate to the English word ""mouse"""
284,Almeida Garrett ,none
285,Jorge Amado ,Brazilian novelist whose stories of life in the eastern Brazilian state of Bahia
286,Homero ,Greek origin
287,José Mauro de Vasconcelos ,Brazilian
288,adapt. de Amélia Pinto Pais,none
289,texto de Adélia Carvalho ,none
290,Alexandre Hercuano ,none
291,por Frederico Lourenço ,none
292,Leon Leyson com Marilyn J. Harran e Elizabeth B. Leyson ,none
293,José Saramago ,"Azinhaga, a small village in the province of Ribatejo, on the right bank of the Almonda River, around a hundred kilometres north-east of Lisbon"
294,Gabriel García Márquez ,"Aracataca, Colombia"
295,por Alexandre Herculano ,none
296,Vasco Graça Moura,none
297,Maria Alberta Menéres ,none
298,Malala Yousafzai com Christina Lamb ,"Mingora, Pakistan"
299,Gonçalo Cadilhe,"professional traveller, writer and photographer"
300,José Xavier ,Portuguese
301,Isabel Allende ,"Lima, Peru"
302,adapt. de Claire Ubac ,none
303,Raul Brandão ,none
304,Mia Couto ,Maputo
305,Ernest Hemingway ,American
306,Trindade Coelho ,Portuguese writer who is best known for his regional short stories
307,Dinis Machado,none
308,Fernando Pessoa ,"Durban, South Africa"
309,José Eduardo Agualusa,Angola
310,Doris Lessing ,British-Zimbabwean
311,Ondjaki ,none
312,José Cardoso Pires ,none
313,Patrick Modiano ,2014
314,Rui Miguel Tovar,none
315,Ana Maria Magalhães e Isabel Alçada,none
316,Alexandre Herculano,none
317,de Rider Haggard ,"Bradenham, Norfolk"
318,William Golding ,British
319,Gayle Forman,American
320,Jane Austen ,England
321,Tom Michell ,American
322,Thomas Mann ,German author
323,Hélia Correia ,none
324,Mia Couto,Maputo
325,arg. e des. José Carlos Fernandes,José Carlos Fernandes
326,Reinhard Kleist ,German
327,Mário Zambujal,none
328,Tove Jansson ,Finnish
329,Tiago Patrício,none
330,Manuela Barros Ferreira ,none
331,Charles Kingsley ,"Holne Vicarage, Devon, England"
332,Raquel Ramos,none
333,Cristina Carvalho ,none
334,Jandy Nelson ,"San Francisco, California"
335,Katherine Applegate ,"Ann Arbor, Michigan"
336,Tolstoi ,fictional character
337,Ondjaki,none
338,Gil Vicente ,Portuguese playwright
339,Kate DiCamillo ,American
340,Jonas Jonasson ,Växjö in southern Sweden
341,texto Mário de Carvalho ,Mário
342,Carlo Collodi e Roberto Innocenti ,none
343,Marcelo D' Salete,Brazilian
344,André Diniz ,Brazilian
345,adapt. Vanessa Rubio-Barreau ,none
346,André Oliveira ,none
347,Agustina Bessa-Luís,Portuguese
348,Catarina Gomes,none
349,Jack London ,American
350,Marcus Zusak ,"Sydney, Australia"
351,Lucy M. Montgomery ,"Clifton (now New London), Prince Edward Island"
352,texto Ana Pessoa ,none
353,Miguel Esteves Cardoso,Portuguese
354,José Carlos Fernandes,none
355,Luísa Costa Gomes,none
356,Rita Taborda Duarte ,none
357,Pierdomenico Baccalario ,none
358,Camilo Castelo Branco,"52,291"
359,Stephen Hawking ,160
360,Carla Maia de Almeida ,none
361,Emílio Salgari ,Italian
362,Alan Snow ,none
363,Jesús Carrasco ,Spanish
364,Agatha Christie ,Belgian
365,João Amaral,Portuguese
366,Sam Savage ,American
367,Sérgio Rodrigues ,none
368,Erico Veríssimo ,Brazilian
369,Andréa del Fuego,none
370,Gil Vicente,Portuguese playwright
371,John Vaillant ,American-Canadian
372,Solomon Northup ,African American
373,Gao Xingjian ,author Mo Yan
374,Mário de Carvalho,Mário
375,"John Green, Maureen Johnson, Lauren Myracle",the town of Gracetown
376,Augusto José Monteiro ,none
377,Sid Jacobson e Ernie Colón ,none
378,Malala Yousafzai com Patricia McCormick ,New York City
379,Rosa Lobato de Faria ,Portuguese
380,Michel Tournier ,none
381,Ana Saldanha,none
382,Jean Giono ,none
383,Mário Cláudio ,none
384,John Green,American
385,Veronica Roth,New York City
386,Tim Bowley ,none
387,Michael Morpurgo ,He seems to use the truth as inspiration in many of his books
388,Andy Mulligan ,young adult fiction
389,"Ana Maria Magalhães, Isabel Alçada",none
390,Sofia Martinez ,none
391,Manuel Alegre,none
392,José Luís Peixoto ,none
393,Ana Folhadela ,none
394,Patrick Süskind ,"Pulitzer-winning journalist, bestselling author, and producer of award-winning documentaries and feature films, and the founder of BongoMedia"
395,Alan Lightman ,none
396,Kathryn Erskine ,children's literature
397,Tom Bullough ,none
398,Chris Priestley ,Cambridge
399,António Torrado,none
400,Dava Sobel ,American
401,David Gilmour ,English
402,Emma Donoghue ,Dublin
403,Ian Beck ,none
404,James Bradley ,none
405,Vitorino Nemésio,none
406,Cesário Verde ,none
407,Francesco D'Adamo ,none
408,Ben Jonson ,English
409,Hermann Hesse ,"Black Forest town of Calw in Württemberg, German Empire"
410,Bruce Chatwin ,the South of France
411,Frances Hardinge ,none
412,Rider Haggard ,"Bradenham, Norfolk"
413,Yann Martel ,French-Canadians
414,Manuel da Fonseca,none
415,Francisco Duarte Mangas... [et al.],none
416,John Grogan ,About 80 percent of it is true to the real story and the rest is fictionalized to make it work
417,Vergílio Ferreira,none
418,de Trindade Coelho,Portuguese writer who is best known for his regional short stories
419,G. K. Chesterton,"Campden Hill in Kensington, London"
420,Raul Brandão,none
421,Machado de Assis,none
422,Emilio Salgari,Italian
423,"Rudyard Kipling "" seguido de"" através das ondas",none
424,António Gedeão,Portuguese
425,Lewis Carrol ,"born on January 27, 1832, in Daresbury, Cheshire, England"
426,Henry DeVere Stacpoole,Irish
427,Frances Hodgson Burnett ,did not live in India
428,José Jorge Letria,Portuguese
429,Edgar Allan Poe ,American
430,Sophia de Mello Breyner Andresen,Portuguese
431,Leonoreta Leitão ,none
432,Filipe Faria,none
433,John Connolly ,Irish
434,Mark Twain,American
435,Peter Ward ,36 goals
436,Eça de Queirós e Ramalho Ortigão,none
437,William F. Nolan and George Clayton Johnson ,thirty-years-old
438,Diana Mohamadi ,none
439,Eça de Queirós,none
440,William Shakespeare ,Gulielmus Shakspere
441,Isabel Maria Fidalgo Mateus,none
442,Augusto Carlos,none
443,Bram Stoker e Ian Holt ,Irish
444,Dave Eggers ,American
445,Bernard Cornwell,none
446,Agustín Fernández Paz ,one of the best known and most valued writers in the field of children's and young adults' literature in Galicia and the rest of Spain
447,texto de Cidália Fernandes ,none
448,Ana Teresa Pereira,Portuguese
449,Rider Haggard,"Bradenham, Norfolk"
450,adapt. de Lara Bergen ,none
451,adapt. Aquilino Ribeiro,none
452,Charles Dickens,English
453,Ana Paula Tavares ... [et al.] ,Angolan
454,Jean-Christophe Bailly,none
455,Júlio Verne,French
456,contada às crianças e ao povo por João de Barros ,none
457,Brian Jacques ,Kirkdale near to the Liverpool Docks
458,adapt. Marques Braga ,an ecclesiastical center
459,Thomas Bailey Aldrich ,American
460,Manuel Alegre ,none
461,A. J. Lake ,none
462,António Mota ,none
463,Lídia Jorge,none
464,Aquilino Ribeiro,none
465,Shannon Hale ,American
466,François Bégaudeau ,none
467,Wedekind,German
468,Thomas Berger ,none
469,Kenneth Grahame ,The Wind in the Willows
470,texto e il. Helga Gebert ,none
471,C. S. Lewis ,he never formally entered the Church
472,Iain Lawrence ,Gabriola Island
473,Terry Deary ,British
474,Marion Zimmer Bradley,Marion Zimmer Bradley
475,Kirsten Miller ,American
476,Katherine Paterson ,born in China
477,Paul Stewart e Chris Riddell ,Sri Lanka
478,João Aguiar ,Portuguese
479,Truman Capote ,215
480,Emma Maree Urquhart ,avid reader and writer of British fantasy and sci-fi represented by John Jarrold
481,Anónimo ,none
482,Victor Hugo,French
483,Irene Lisboa ,none
484,Tim Bowler,none
485,David Howarth ,none
486,Capitão Charles Johnson ,British
487,adapt. dos textos Xavier Valls ,none
488,Alberto Braga... [et al] ,Brazil
489,texto e fotografias Miguel Sousa Tavares,none
490,Henrique O'Neill ,Portuguese
491,Vergílio Ferreira ,none
492,J. R. R. Tolkien,German descent
493,texto de Jorge Araújo ,none
494,Meg Cabot ,American
495,J. R. R. Tolkien ,German descent
496,Louise Cooper,none
497,"Terry Deary, Peter Hepplwhite ",British
498,Martin Oliver ,British
499,selec. e org. Valter Hugo Mãe,none
500,H. Rider Haggard ,"Bradenham, Norfolk"
501,Bernardo Atxaga,none
502,Cyrano de Bergerac,Paris
503,R. L. Stevenson,Edinburgh
504,Trindade Coelho,Portuguese writer who is best known for his regional short stories
505,Richard Bach,American
506,texto Richard Platt ,none
507,Jack London,American
508,Nadine Gordimer ,South Africa
509,Almada Negreiros,none
510,José Rodrigues Miguéis,none
511,[transcrição] Pedro Eiras,none
512,José de Almada Negreiros ,none
513,Júlio Dinis ,none
514,Mário de Sá Carneiro,Portuguese
515,Jean Rhys ,Ella Gwendolen Rees Williams
516,Amin Maalouf ,Lebanon
517,Nelson Rodrigues,none
518,Jorge Luis Borges ,"August 24, 1899"
519,Nuno Costa Santos,Portuguese
520,Ricardo Arújo Pereira,none
521,Maria Velho da Costa ,none
522,Manuel Jorge Marmelo,none
523,"Filipe Melo, Juan Cavia",none
524,Fiódor Dostoievski ,Russian
525,Lucia Berlin ,American
526,Julián Fuks,Brazilian
527,Raduan Nassar,Brazilian
528,Graham Greene ,Indigenous (Oneida) Canadian
529,Julian Barnes ,Leicester
530,V. S. Naipaul ,Trinidadian writer of Indian descent
531,Gustave Flaubert ,"Rouen, France"
532,Charles Bukowski ,German-American
533,Fernando Namora ,none
534,André Alexis ,Ottawa
535,Antoigne Compagnon ,none
536,Ana Margarida de Carvalho,none
537,org. Luís Naves,none
538,Mário Cláudio,none
539,Linda Sue Park ,Korean American
540,Rebecca Solnit ,American
541,Marcelo Quintanilha,none
542,"de Angélica Freitas, Odyr",Angélica Freitas
543,João Ricardo Pedro,none
544,Ruy Castro,Brazilian
545,James Salter ,none
546,Dylan Thomas ,pneumonia
547,James Riordan ,none
548,Erskine Caldwell ,American
549,Anónimo do século XVI e H. de Luna ,none
550,Henry James ,U.S.
551,Orhan Pamuk,Turkish
552,Pedro Mexia,none
553,Jorge de Sena,none
554,Franz Kafka ,German-speaking Czech Jewish
555,[adapt.] Pierre-Henry Gomont ,none
556,Stendhal ,French
557,Juan José Millás ,Spanish
558,Pam Jenoff ,c. 1978
559,Rachel Cusk ,Canada
560,Daphne du Maurier ,was fascinated by her French heritage
561,Joseph Conrad ,1886
562,Cristina Carvalho,none
563,Jorge Carrión ,none
564,Madame de Lafayette ,French
565,trad. de Margarida Amado Acosta,none
566,Patrícia Portela,Patrícia Portela
567,Jostein Gaarder ,Judaism
568,versão de Marcello Quintanilha,none
569,texto Sébastien Perez ,none
570,Manuel António Pina ,Portuguese
571,Júlio Dinis,none
572,Bram Stoker ,Irish
573,Bruno Vieira Amaral,none
574,Nicola Yoon ,Los Angeles
575,João Pinto Coelho,none
576,Melissa Fleming ,American
577,John Green ,American
578,Miguel Gizzas,none
579,Tiago Rodrigues,Portuguese
580,Eça de Queiroz,none
581,João Tordo,none
582,trad. Hugo Maia,none
583,Yasmina Reza ,Reza was the daughter of Jewish parents who had immigrated to France
584,Bruno Vieira do Amaral,none
585,Maria José da Silveira Núncio,none
586,Lídia Jorge ,none
587,Frederico Lourenço ,none
588,Kensaburo Oe ,The Nobel Prize in Literature 1994
589,Ana Pessoa... [et al.],none
590,Primo Levi ,IG Farben
591,Claudio Magris ,none
592,David Sala ,Romanian
593,Milton Hatoum,none
594,María Gainza ,Argentine
595,texto e il. Beatrix Potter ,London
596,texto e il. de Pei-Yu Chang ,none
597,Slawomir Mrozek ,none
598,J. Rentes de Carvalho,none
599,"org., introd., notas Maria Vitalina Leal de Matos",none
600,Sérgio Godinho,vive
601,Gonzalo Torrente Ballester ,none
602,Luigi Pirandello ,Italian novelist and playwright
603,Joseph Joffo ,10-year-old
604,Roberto Bolaño ,Chilean
605,H.G. Wells ,Male
606,Herman Melville ,American
607,Jorge Amado e José Saramago ,none
608,Arturo Pérez-Reverte ,none
609,Miguel Tamen,none
610,Rainer Maria Rilke ,Austrian
611,José Luandino Vieira ,none
612,Kapaf Epalanga,none
613,Ana Isabel Vasconcelos,none
614,Fernão Lopes ,Nascido
615,texto Rob lloyd Jones ,none
616,Nils Uddenberg ,none
617,Mariana Enriquez ,Argentine
618,Padre António Vieira ,none
619,Sónia Serrano,none
620,Rui Pina Coelho,none
621,Juliet Marillier ,"Swan Valley, Western Australia"
622,coord. geral Helena Carvalhão Buescu,none
623,Lucy & Stephen Hawking ,drug CPH4
624, Walter Scott ,Edinburgh
625,Rubem Fonseca ,none
626,ed. crít. Luiz Fagundes Duarte,none
627,António Lobo Antunes ,none
628,Eric Knight ,"an American singer-songwriter, multi-instrumentalist, record producer, artist manager, entrepreneur, and entertainment industry professional"
629,Elena Ferrante ,novelist Domenico Starnone
630,Mário de Carvalho ,Mário
631,F. Scott Fitzgerald ,American
632,Carlos Ruiz Zafón ,colon cancer
633,planeada por Fernando Passoa ,none
634,Pepetela ,Portuguese Angolan
635,Mario Vargas Llosa ,"Arequipa, Peru's second largest city"
636,[E. M. Forster... et al.],Canley Garden Cemetery
637,Jean-Paul Sartre ,Paris
638,textos e des. Fábio Celoni ,none
639,Manuel Vilas ,Spanish
640,Jacques Ferrandez ,Graphic novelist
641,Carry Ulreich ,"Schorndorf, West Germany"
642,Rui Lage,none
643,"texto, il. e narração Rodolfo Castro... [et al.] ",none
644,João de Melo,none
645,Dulce Maria Cardoso,Portugal
646,Adolfo Caminha ,none
647,Tiago Ferro,none
648,Jarett Kobek ,Turkish-American
649,Sinclair Lewis ,"Sauk Centre, Minnesota"
650,W. Somerset Maugham ,"Paris, France"
651,Vitorino Nemésio ,none
652,Camilo José Cela ,"Galicia, Spain"
653,Javier Marías ,none
654,Marcel Proust ,Paris
655,Yu Hua ,Yu Hua lives in Beijing
656,Daniel Mendelsohn ,American
657,Ray Bradbury ,American
658,Marguerite Yourcenar ,"Somesville, Maine"
659,Eva Schloss com Karen Bartlett ,none
660,Germano Almeida ,Germano Almeida
661,Elizabeth Wein ,none
662,Shusaku Endo ,Japanese
663,Alexandre Dumas,none
664,Paulo Varela Gomes,none
665,Umberto Eco ,Italian
666,Nikolai Gógol,Ukrainian origin
667,Nikolai Tchernichévski ,none
668,Lev Tolstói ,Russian
669,Guy de Maupassant ,none
670,Stephen King ,American
671,Edmondo De Amicis ,Italian
672,George e Weedon Grossmith ,William Lupin
673,Boileau-Narcejac ,French
674,Isabel Lucas,29 January 1985
675,Joseph Roth ,none
676,August Strindberg ,Swedish
677,Maria Judite de Carvalho ,none
678,Ana Paula Miranda ,none
679,Anton Tchékhov ,Taganrog
680,Djaimilia Pereira de Almeida,none
681,Sally Rooney ,Irish
682,Agustina Bessa Luís ,Portuguese
683,Honoré de Balzac ,French
684,Isaac Asimov ,American
685,Han Kang ,Gwangju
686,Susan Sontag ,American
687,Natalia Ginzburg ,Rome
688,David Grossman ,Israeli
689,por Rider Haggard ,none
690,Miguel Real,African American mother and a Mexican American father
691,Stefan Hertmans ,Flemish Belgian
692,José Eduardo Agualusa e Mia Couto,none
693,Patti Smith ,American
694,Paulo José Miranda ,none
695,Jaime Rocha,none
696,Ana Margarida de Carvalho... [et al.],none
697,Gonçalo M. Tavares,none
698,Francisco José Viegas,none
699,Itamar Vieira Junior,none
700,João Guimarães Rosa,none
701,Chico Buarque,Brazilian
702,Donald Ray Pollock ,Chillicothe
703,Thomas Mann,German author
704,António Carlos Cortez,none
705,Robin Benway ,none
706,Mohsin Hamid ,Pakistan
707,Anna Burns ,David Grossman
708,A. S. Byatt ,Sheffield
709,Ian McEwan ,McEwan has no connections with the country
710,Margaret Drabble ,English
711,Thomas Hardy ,British
712,Anne Brontë ,English
713,Virgínia Woolf ,"South Kensington, London"
714,Jonathan Coe ,Felicity Bryan Associates
715,Peter Carey ,Australia
716,Philippe Claudel ,French
717,Erich Maria Remarque ,"Osnabrück, Germany"
718,Thomas More ,Catholic faith
719,Ralf Rothmann ,German
720,Jacinta Maria Matos,none
721,Karina Sainz Borgo ,Venezuela
722,Dasa Drndic ,Croatian
723,Michael Ondaatje ,Burgher descent (Dutch and Sinhalese)
724,Germano Almeida,Germano Almeida
725,Geovani Martins,none
726,Jay Parini ,none
727,Ismail Kadaré ,Albanian
728,Miguel Franco,none
729,Luize Valente ,none
730,John SteinbecK ,none
731,Milan Kundera ,"Czech novelist, short-story writer, playwright, essayist, and poet"
732,Olivier Rolin ,French
733,Magda Szabó ,Hungarian
734,Boris Pasternak ,Jewish
735,Kazuo Ishiguro ,"born in Nagasaki, Japan"
736,Elif Shafak ,Turkish-British
737,Willa Cather ,American
738,João de Araújo Correia,none
739,Ernesto Rodrigues,none
740,Joana Bértholo,none
741,Paolo Cognetti ,Italian
742,Éric Vuillard ,French
743,Isabel Rio Novo,none
744,Clara Macedo Cabral,none
745,Hugo Mezena,none
746,Karla Suárez ,Cuban
747,João Paulo Borges Coelho,none
748,Beatriz Sarlo ,Argentine
749,Olinda Beja,none
750,Laurent Binet ,French
751,Anatole France ,French
752,Colson Whitehead ,American
753,Selva Almada ,none
754,Natália Constâncio ,none
755,José Luís Peixoto,none
756,Luis Landero ,none
757,José Carlos Seabra Pereira ,none
758,Simon Stranger ,none
759,Mai Jia ,none
760,arte e adap. Renée Nault ,none
